trip_id,fecha_local,monto_bruto,duracion_min,distancia_km,estado,eficiencia_por_km,ciudad,origen,destino
bfb75c18-00a0-4c6c-8bc7-5c0dfbc73d68,2024-06-22 14:40:25,137.55,36.47,18.75,COMPLETED,7.34,Valle de México,"Calle de la Lámpara, 54783 Teoloyucan, México, MX","C. Nayarit, Cuautitlán Izcalli, 54753 Estado de México, MX"
9c21a397-1b0b-41d8-bc34-5cc335570c74,2024-06-22 15:21:42,146.47,41.42,26.43,COMPLETED,5.54,Valle de México,"Hacienda Sierra Vieja Lt 2, Fracc Hacienda del Parque, 54769 Cuautitlán Izcalli, MEX, MX","Av Paseo de la Reforma, Col Juárez Cuauhtémoc, 06600 Cuauhtémoc, CMX, MX"
b22d954c-e85b-4373-af7c-cd4a9b0fd492,2024-06-22 16:21:45,90.52,17.22,6.51,COMPLETED,13.9,Valle de México,"Col Tabacalera, 06030 Cuauhtémoc, CMX, MX","Eje Central Lázaro Cárdenas, México D.F., 07760 Ciudad de México, MX"
7817b52a-1257-4b8f-9f1f-363a762cdc59,2024-06-22 16:45:58,189.4,57.92,30.02,COMPLETED,6.31,Valle de México,"Col Maximino Ávila Camacho, 07380 Gustavo A. Madero, Ciudad de México, MX","Niño Artillero, México D.F., 09180 Ciudad de México, MX"
9a5b45fd-0dfe-4cc3-8130-f33dfdc22711,2024-06-22 18:16:44,72.58,9.43,4.29,COMPLETED,16.92,Valle de México,"Congreso de Chilpancingo Nte y Sur, Col Ermita Zaragoza Iztapalapa, 09180 Ciudad de México, Ciudad de México, MX","09140 Iztapalapa, Ciudad de México, MX"
804f49ac-b0cc-46c9-9c1b-5caac2e567de,2024-06-22 18:35:33,91.95,32.17,14.23,COMPLETED,6.46,Valle de México,"Calle Tizapán, 57760 Ciudad Nezahualcóyotl, México, MX","Infonavit Iztacalco, 08900 Iztacalco, Ciudad de México, MX"
e856cbcd-8824-4de3-bbed-3d775e1fbbf8,2024-06-22 19:15:49,90.86,24.95,14.4,COMPLETED,6.31,Valle de México,"Ampliación Ramos Millán, 08000 Iztacalco, Ciudad de México, MX","Ajusco, 04300 Coyoacán, Ciudad de México, MX"
71464039-cfe4-4764-91cb-f812e67d89ae,2024-06-22 19:34:30,125.8,33.95,14.68,COMPLETED,8.57,Valle de México,"Los Reyes, 04330 Coyoacán, Ciudad de México, MX","Piloto Adolfo López Mateos, 01290 Álvaro Obregón, Ciudad de México, MX"
dff2da7d-9a01-475e-ac52-a65e59afe638,2024-06-22 20:32:28,71.42,15.53,5.36,COMPLETED,13.32,Valle de México,"Presidentes Segunda Ampl, 01299 Álvaro Obregón, Ciudad de México, MX","Col Merced Gómez, 01480 Álvaro Obregón, DF, MX"
26407f3f-f4e8-4dba-8663-bbc4cf98d3be,2024-06-22 20:45:21,75.89,18.35,11.97,COMPLETED,6.34,Valle de México,"Colonia Las Águilas, 01710 Álvaro Obregón, Ciudad de México, MX","Col Reforma Social Miguel Hidalgo, 11650 Miguel Hidalgo, Ciudad de México, MX"
c40483e5-9cbd-4f95-9e0a-f35ee1f18c8f,2024-06-22 21:20:18,114.06,26.98,12.63,COMPLETED,9.03,Valle de México,"Av. Paseo de las Palmas, México D.F., 11000 Ciudad de México, MX","Av Jesús del Monte, 52764 Huixquilucan, MEX, MX"
4eeb0fd2-4dce-4e4e-986d-9f9c08f93fc7,2024-06-22 21:47:27,192.12,49.9,27.06,COMPLETED,7.1,Valle de México,"C. Blvd. Interlomas, Jesús del Monte, 52763 Estado de México, MX","Av. División del Nte., México D.F., 04370 Ciudad de México, MX"
b079a414-795b-4aac-9123-be0ab7b25c56,2024-06-22 23:12:04,228.48,55.22,39.26,COMPLETED,5.82,Valle de México,"Adolfo Ruiz Cortines, 04630 Coyoacán, Ciudad de México, MX","Calle Sur 1, 55080 Ecatepec de Morelos, México, MX"
554cd3fa-c44b-47df-aef7-9904e4a458ea,2024-06-23 00:41:20,45.77,13.07,6.19,COMPLETED,7.39,Valle de México,"Blv Insurgentes, Col San Cristobal Mun, 55024 Ecatepec de Morelos, México, MX","Orquídeas, Ecatepec de Morelos, 55070 Estado de México, MX"
38b6b9a7-33f3-4aa9-ac00-3c3db8317d39,2024-06-23 00:57:55,129.84,37.0,27.46,COMPLETED,4.73,Valle de México,"Tercer Retorno Violeta, 55070 Ecatepec de Morelos, México, MX","Col Peñón de los Baños, 15620 Venustiano Carranza, DF, MX"
a8d993d7-8b94-49fa-8aa5-f6449ae5eb38,2024-06-25 13:21:33,176.65,38.6,31.05,COMPLETED,5.69,Valle de México,"Calle Arcos, 56150 Salitrería, México, MX","Eje Central Lázaro Cárdenas, México D.F., 07760 Ciudad de México, MX"
82bb983f-181d-4bdc-b166-fb31c79c56d4,2024-06-25 14:08:20,106.78,46.78,10.6,COMPLETED,10.07,Valle de México,"Col Vasco de Quiroga, 07440 Gustavo A. Madero, CMX, MX","Hamburgo, Cuauhtémoc, 06600 Ciudad de México, MX"
c789bdbd-2661-4c2d-949f-fd634d540ea7,2024-06-25 14:48:39,96.09,46.12,9.97,COMPLETED,9.64,Valle de México,"Roma Norte, 06700 Cuauhtémoc, Ciudad de México, MX","Eje Central Lázaro Cárdenas, Gustavo A. Madero, 07760 Ciudad de México, Ciudad de México, MX"
b66cd966-33ac-4b65-82aa-f5db2122042a,2024-06-25 15:46:22,60.03,21.55,8.61,COMPLETED,6.97,Valle de México,"Magdalena de las Salinas, 07760 Ciudad de México, DF, MX","Av. México-Tenochtitlán, México D.F., 06030 Ciudad de México, MX"
26e4e700-d327-4cfb-9348-d82bd0a6fd15,2024-06-25 16:09:40,118.0,31.03,10.86,COMPLETED,10.87,Valle de México,"Tabacalera, 06030 Cuauhtémoc, Ciudad de México, MX","Providencia, 02440 Azcapotzalco, Ciudad de México, MX"
90061fd2-710a-4724-bb2a-1631605de9ca,2024-06-25 17:00:58,92.21,22.28,6.59,COMPLETED,13.99,Valle de México,"Rafael Reyes Espindola Num 491 11220, 11220 Mexico City, Mexico City, MX","Sierra Madre del Nte., Naucalpan de Juárez, 53790 Estado de México, MX"
7965ebf1-7074-47a9-b0a0-f1484fda6695,2024-06-25 17:03:02,57.36,8.72,3.93,COMPLETED,14.6,Valle de México,"Eje Vial 3 Nte. (Calzada San Isidro), México D.F., 02720 Ciudad de México, MX","Av. Ingenieros Militares, Naucalpan de Juárez, 53370 Estado de México, MX"
7a553c7a-bf16-4906-8430-4b5725c1aa80,2024-06-25 17:59:53,204.32,45.93,31.2,COMPLETED,6.55,Valle de México,"Calzada San Esteban, 53550 Naucalpan de Juárez, México, MX","Belisario Domínguez, México D.F., 09300 Ciudad de México, MX"
44cac94c-e93d-4b95-9fff-91200d05d992,2024-06-25 18:55:25,66.13,13.3,5.89,COMPLETED,11.23,Valle de México,"Paseos de Churubusco, 09020 Iztapalapa, Ciudad de México, MX","Rubén Zepeda Novelo, México D.F., 09360 Ciudad de México, MX"
b6def4d1-c783-42b8-92d2-07202af25667,2024-06-25 19:23:26,152.94,33.37,22.64,COMPLETED,6.76,Valle de México,"09228 Iztapalapa, DF, MX","Av. Juan Sabines, Santa Martha, 56266 Estado de México, MX"
d49bba2b-d52c-4a68-b40f-b4bd6ddb9316,2024-06-27 14:00:14,54.73,12.77,6.19,COMPLETED,8.84,Valle de México,"Carr Federal México-Texcoco Km 36.5 Loc C, 56236 Texcoco de Mora, México, MX","Prol. Olmillos, Villa Santiago Cuautlalpan, 56255 Estado de México, MX"
e260a3da-9daf-4447-9ccf-37a54a180daa,2024-06-27 14:42:54,168.52,38.8,29.0,COMPLETED,5.81,Valle de México,"56205 Texcoco, México, MX","Tlaxcaltecas, Ecatepec de Morelos, 55120 Estado de México, MX"
b992f22c-b113-4cdf-aeca-00d11e1a4e2e,2024-06-27 16:15:37,79.45,22.93,6.99,COMPLETED,11.37,Valle de México,"Calle Plan de Ayala, Santo Tomás, 11340 Miguel Hidalgo, Ciudad de México, MX","Blv Manuel Ávila Camacho, Naucalpan de Juárez, 53390 Naucalpan de Juárez, México, MX"
1a590c09-20fd-4a1c-aa7a-667027fdfe01,2024-06-27 16:47:20,129.9,40.7,11.72,COMPLETED,11.08,Valle de México,"Deportiva Pensil, 11470 Miguel Hidalgo, Ciudad de México, MX","Av Pino Suárez, Col Centro Cuauhtémoc, 06090 Ciudad de México, Ciudad de México, MX"
9b489c8a-d3d3-4caf-b8b5-fce2727c843a,2024-06-27 17:36:22,45.03,19.85,4.05,COMPLETED,11.12,Valle de México,"República de el Salvador, Col Centro Histórico, 06080 Cuauhtémoc, Ciudad de México, MX","06600 Cuauhtémoc, Ciudad de México, MX"
90394a63-8472-4c91-bab3-b78912d3ea22,2024-06-27 18:36:23,48.54,11.82,3.4,COMPLETED,14.28,Valle de México,"Col Maximino Ávila Camacho, 07380 Gustavo A. Madero, Ciudad de México, MX","Colonia Lindavista, 07300 Gustavo A. Madero, Mexico City, MX"
8234edb1-e587-4d83-aeb0-f660bc27b2d9,2024-06-27 19:03:50,101.83,27.18,17.2,COMPLETED,5.92,Valle de México,"Magdalena de las Salinas, 07760 Ciudad de México, DF, MX","03540 Benito Juárez, Ciudad de México, MX"
e37c3202-41bb-40b3-87d1-592ecbdef15b,2024-06-27 19:34:24,71.95,13.65,6.67,COMPLETED,10.79,Valle de México,"Calle Bulgaria, Col Portales Sur Benito Juárez, 03300 Ciudad de México, CMX, MX","Santo Domingo Pedregal de Santo Domingo, 04369 Coyoacán, Ciudad de México, MX"
74a9c9a9-3353-4a8e-acb9-a4a2c24ff534,2024-06-27 21:15:34,92.44,18.32,11.42,COMPLETED,8.09,Valle de México,"Roma Norte, 06700 Cuauhtémoc, Ciudad de México, MX","Saul, México D.F., 07840 Ciudad de México, MX"
