trip_id,fecha_local,anio,mes,semana_iso,dia_semana,hora,monto_bruto,duracion_min,distancia_km,mxn_por_minuto,origen,destino,estado,enlace_google_maps
74ead05d-a884-4425-bab9-6f6f95dd9103,2024-07-07 17:22:43,2024,07,27,Sunday,17,153.79,39.17,23.37,3.93,"Av. Constitución de Apatzingán, México D.F., Ciudad de México, MX","Cam. Viejo a San Pedro Mártir, México D.F., 14630 Ciudad de México, MX",COMPLETED,http://googleusercontent.com/maps.google.com/maps?api=1&origin=Av.%20Constituci%C3%B3n%20de%20Apatzing%C3%A1n%2C%20M%C3%A9xico%20D.F.%2C%20Ciudad%20de%20M%C3%A9xico%2C%20MX&destination=Cam.%20Viejo%20a%20San%20Pedro%20M%C3%A1rtir%2C%20M%C3%A9xico%20D.F.%2C%2014630%20Ciudad%20de%20M%C3%A9xico%2C%20MX
38b75fa1-9f93-4e5d-8998-3bea408aa898,2024-07-07 17:07:17,2024,07,27,Sunday,17,64.69,6.95,2.96,9.31,"San Rafael Atlixco - Eje 4 Sur, 09020 Ciudad de México, Ciudad de México, MX","Av Gral Ignacio Zaragoza, Col Agrícola Oriental Iztacalco, 08500 Ciudad de México, Ciudad de México, MX",COMPLETED,http://googleusercontent.com/maps.google.com/maps?api=1&origin=San%20Rafael%20Atlixco%20-%20Eje%204%20Sur%2C%2009020%20Ciudad%20de%20M%C3%A9xico%2C%20Ciudad%20de%20M%C3%A9xico%2C%20MX&destination=Av%20Gral%20Ignacio%20Zaragoza%2C%20Col%20Agr%C3%ADcola%20Oriental%20Iztacalco%2C%2008500%20Ciudad%20de%20M%C3%A9xico%2C%20Ciudad%20de%20M%C3%A9xico%2C%20MX
a9ebfb32-8cc7-4c45-92c0-3e2ead6ee876,2024-07-07 15:20:37,2024,07,27,Sunday,15,193.44,59.63,30.76,3.24,"Calle Tercera San Gabriel, 56250 San Miguel Coatlinchán, México, MX","Ignacio Zaragoza, 15000 Venustiano Carranza, Ciudad de México, MX",COMPLETED,http://googleusercontent.com/maps.google.com/maps?api=1&origin=Calle%20Tercera%20San%20Gabriel%2C%2056250%20San%20Miguel%20Coatlinch%C3%A1n%2C%20M%C3%A9xico%2C%20MX&destination=Ignacio%20Zaragoza%2C%2015000%20Venustiano%20Carranza%2C%20Ciudad%20de%20M%C3%A9xico%2C%20MX
673acff8-4884-4229-b4c6-6e9264dc744d,2024-07-06 23:00:17,2024,07,27,Saturday,23,44.34,13.42,6.1,3.3,"Col Reforma, 06600 Cuauhtémoc, DF, MX","C. Frambuesa, México D.F., 02820 Ciudad de México, MX",COMPLETED,http://googleusercontent.com/maps.google.com/maps?api=1&origin=Col%20Reforma%2C%2006600%20Cuauht%C3%A9moc%2C%20DF%2C%20MX&destination=C.%20Frambuesa%2C%20M%C3%A9xico%20D.F.%2C%2002820%20Ciudad%20de%20M%C3%A9xico%2C%20MX
8113b965-4545-4d90-a342-cdbd6e76446d,2024-07-06 22:33:14,2024,07,27,Saturday,22,86.79,12.87,11.59,6.74,"Jamaica, 15800 Venustiano Carranza, Ciudad de México, MX","Col Polanco V Sección, 11560 Miguel Hidalgo, DF, MX",COMPLETED,http://googleusercontent.com/maps.google.com/maps?api=1&origin=Jamaica%2C%2015800%20Venustiano%20Carranza%2C%20Ciudad%20de%20M%C3%A9xico%2C%20MX&destination=Col%20Polanco%20V%20Secci%C3%B3n%2C%2011560%20Miguel%20Hidalgo%2C%20DF%2C%20MX
60f70880-896f-43ea-b042-a47a1fb200ff,2024-07-06 22:13:23,2024,07,27,Saturday,22,59.83,16.52,10.34,3.62,"Agrícola Oriental, 08500 Iztacalco, Ciudad de México, MX","La Asunción, 08600 Iztacalco, Ciudad de México, MX",COMPLETED,http://googleusercontent.com/maps.google.com/maps?api=1&origin=Agr%C3%ADcola%20Oriental%2C%2008500%20Iztacalco%2C%20Ciudad%20de%20M%C3%A9xico%2C%20MX&destination=La%20Asunci%C3%B3n%2C%2008600%20Iztacalco%2C%20Ciudad%20de%20M%C3%A9xico%2C%20MX
b4ba481a-a4a5-4cbf-b072-643962db3fa5,2024-07-06 19:37:00,2024,07,27,Saturday,19,88.0,22.02,10.34,4.0,"Pza Garibaldi, Col Centro Cuauhtémoc, 06010 Ciudad de México, Ciudad de México, MX","Av Parque de Chapultepec, México D.F., 11200 Estado de México, MX",COMPLETED,http://googleusercontent.com/maps.google.com/maps?api=1&origin=Pza%20Garibaldi%2C%20Col%20Centro%20Cuauht%C3%A9moc%2C%2006010%20Ciudad%20de%20M%C3%A9xico%2C%20Ciudad%20de%20M%C3%A9xico%2C%20MX&destination=Av%20Parque%20de%20Chapultepec%2C%20M%C3%A9xico%20D.F.%2C%2011200%20Estado%20de%20M%C3%A9xico%2C%20MX
bb092cb6-1f51-4a1f-a374-0f184161bf98,2024-07-06 17:50:54,2024,07,27,Saturday,17,96.45,31.3,11.13,3.08,"Pensil San Juanico, 11440 Miguel Hidalgo, Ciudad de México, MX","Moctezuma Primera Sección, 15500 Venustiano Carranza, Ciudad de México, MX",COMPLETED,http://googleusercontent.com/maps.google.com/maps?api=1&origin=Pensil%20San%20Juanico%2C%2011440%20Miguel%20Hidalgo%2C%20Ciudad%20de%20M%C3%A9xico%2C%20MX&destination=Moctezuma%20Primera%20Secci%C3%B3n%2C%2015500%20Venustiano%20Carranza%2C%20Ciudad%20de%20M%C3%A9xico%2C%20MX
b8d35b7c-35d6-4e6e-9891-bfb630fed816,2024-07-06 16:50:30,2024,07,27,Saturday,16,167.84,43.35,29.07,3.87,"Col Santa Martha Acatitla, 09510 Iztapalapa, CMX, MX","C. Lago Mayor, México D.F., 11320 Ciudad de México, MX",COMPLETED,http://googleusercontent.com/maps.google.com/maps?api=1&origin=Col%20Santa%20Martha%20Acatitla%2C%2009510%20Iztapalapa%2C%20CMX%2C%20MX&destination=C.%20Lago%20Mayor%2C%20M%C3%A9xico%20D.F.%2C%2011320%20Ciudad%20de%20M%C3%A9xico%2C%20MX
4b8e1a40-2893-41a4-9db6-901bcc6bbd70,2024-07-06 16:25:17,2024,07,27,Saturday,16,13.09,0.0,0.0,0.0,"Unidad Habitacional Ejército Constitucionalista, 09208 Iztapalapa, Ciudad de México, MX","Unidad Habitacional Ejército Constitucionalista, 09208 Iztapalapa, Ciudad de México, MX",DRIVER_CANCELED,http://googleusercontent.com/maps.google.com/maps?api=1&origin=Unidad%20Habitacional%20Ej%C3%A9rcito%20Constitucionalista%2C%2009208%20Iztapalapa%2C%20Ciudad%20de%20M%C3%A9xico%2C%20MX&destination=Unidad%20Habitacional%20Ej%C3%A9rcito%20Constitucionalista%2C%2009208%20Iztapalapa%2C%20Ciudad%20de%20M%C3%A9xico%2C%20MX
