uuid,recognizedAt,activityTitle,formattedTotal,routing,breakdownDetails,tripMetaData,type,status
e7f4c25a-0267-44d8-b6df-a65371e7196d,1736141731,UberX,"142,82 MXN","{'webviewUrl': 'https://drivers.uber.com/earnings/trips/e7f4c25a-0267-44d8-b6df-a65371e7196d', 'deeplinkUrl': None}",,"{'formattedDuration': '33\xa0min 48\xa0seg', 'formattedDistance': '21.60 km', 'pickupAddress': 'San Joaquín, 11260 Miguel Hidalgo, Ciudad de México, MX', 'dropOffAddress': 'Los Reyes, 04330 Coyoacán, Ciudad de México, MX', 'mapUrl': 'https://static-maps.uber.com/map?width=360&height=100&marker=lat%3A19.45363%24lng%3A-99.20826%24icon%3Ahttps%3A%2F%2Fd1a3f4spazzrp4.cloudfront.net%2Fmaps%2Fhelix%2Fcar-pickup-pin.png%24anchorX%3A0.5%24anchorY%3A0.5&marker=lat%3A19.33779%24lng%3A-99.15725%24icon%3Ahttps%3A%2F%2Fd1a3f4spazzrp4.cloudfront.net%2Fmaps%2Fhelix%2Fcar-dropoff-pin.png%24anchorX%3A0.5%24anchorY%3A0.5&polyline=color%3A0xFF2DBAE4%24width%3A4%24enc%3AepvuBrro%7CQaFiAcBbKtMrByCzOj%40jQsCtDzBbCvBjIFbHuApDjHd%40ZeAaAcD%60AwAxSn%40lPo%40hDcClEcKhJ%7DHlf%40_T%60MoNbCsGxF_DdPcWdJcKbXcS%7EDqMfH%7DEpLS%7CUwJde%40bC%7EC%7DAvFsGhBe%40j%5C%60%40xKyI%7C_%40sL%7En%40lKjJ%7CCnZ_e%40yVsH%7CEsMfDgG%7C%40MjEdJmBb%60%40zl%40zD%7EE_%40ha%40kp%40zh%40eh%40pDiG%7CDyJrByg%40%60TYnPt%40%7Ck%40bHrFc%7D%40%7EAz%40gAbAqAGMvDx%40ChBkEjE%60ExGoEc%40r%40jEzAbJjA%5CrB&source=769a605b_1c9b_3da4_a486_ccc264a18174&signature=6u1w7Usv-8vm_2dNvhW39kRx0Dk='}",TRIP,COMPLETED
0f8545d7-19e3-4d70-bc79-0f368095c7b9,1736139232,Uber X,"98,13 MXN","{'webviewUrl': 'https://drivers.uber.com/earnings/trips/0f8545d7-19e3-4d70-bc79-0f368095c7b9', 'deeplinkUrl': None}","{'formattedTip': None, 'formattedSurge': '32,00\xa0MXN'}","{'formattedDuration': '18\xa0min 34\xa0seg', 'formattedDistance': '10.10 km', 'pickupAddress': '07770 Gustavo A. Madero, Ciudad de México, MX', 'dropOffAddress': 'San Álvaro, 02080 Azcapotzalco, Ciudad de México, MX', 'mapUrl': 'https://static-maps.uber.com/map?width=360&height=100&marker=lat%3A19.47935%24lng%3A-99.14035%24icon%3Ahttps%3A%2F%2Fd1a3f4spazzrp4.cloudfront.net%2Fmaps%2Fhelix%2Fcar-pickup-pin.png%24anchorX%3A0.0%24anchorY%3A0.5&marker=lat%3A19.46324%24lng%3A-99.18658%24icon%3Ahttps%3A%2F%2Fd1a3f4spazzrp4.cloudfront.net%2Fmaps%2Fhelix%2Fcar-dropoff-pin.png%24anchorX%3A0.0%24anchorY%3A0.5&polyline=color%3A0xFF2DBAE4%24width%3A4%24enc%3A%7Bp%7BuBbjb%7CQgj%40xOvDmf%40xDoXxN_VbDrC%7CHxBpg%40n_%40rw%40%7Cn%40hb%40xYpEdH%7D%5CrpDgE%7CS%60KnHaNtXp%40n%40&source=769a605b_1c9b_3da4_a486_ccc264a18174&signature=Ty6TR0DuPLOYp_AUdxoDpWhaezo='}",TRIP,COMPLETED
3c910f5b-b730-4e42-8698-144e291fbc97,1736137488,Uber Planet,"138,43 MXN","{'webviewUrl': 'https://drivers.uber.com/earnings/trips/3c910f5b-b730-4e42-8698-144e291fbc97', 'deeplinkUrl': None}","{'formattedTip': None, 'formattedSurge': '8,00\xa0MXN'}","{'formattedDuration': '31\xa0min 11\xa0seg', 'formattedDistance': '16.21 km', 'pickupAddress': 'Av. Río Tuxpan, México D.F., 09030 Ciudad de México, MX', 'dropOffAddress': 'Eje Central Lázaro Cárdenas, Gustavo A. Madero, 07760 Ciudad de México, Ciudad de México, MX', 'mapUrl': 'https://static-maps.uber.com/map?width=360&height=100&marker=lat%3A19.38585%24lng%3A-99.08709%24icon%3Ahttps%3A%2F%2Fd1a3f4spazzrp4.cloudfront.net%2Fmaps%2Fhelix%2Fcar-pickup-pin.png%24anchorX%3A0.5%24anchorY%3A0.0&marker=lat%3A19.4788%24lng%3A-99.14012%24icon%3Ahttps%3A%2F%2Fd1a3f4spazzrp4.cloudfront.net%2Fmaps%2Fhelix%2Fcar-dropoff-pin.png%24anchorX%3A0.5%24anchorY%3A0.0&polyline=color%3A0xFF2DBAE4%24width%3A4%24enc%3AqhiuBh%7Dw%7BQiAIbS%60CqKx%7B%40%7DChOsWmCkQ%7B%40gEf%40qyAyLiq%40rFgiB%7Dy%40iPuL%7B%5EiGqDVcYjJwa%40zd%40_%40lGnJx%5E%3FbI%7DVf%60AuZbb%40wSp%7E%40kHrOoJrPm%60%40bVqKpEmg%40nM&source=769a605b_1c9b_3da4_a486_ccc264a18174&signature=QdGMrbrWTQ-WOy2qTjiHKcI_MbI='}",TRIP,COMPLETED
d30e549e-f6ba-40a2-904e-fd94e5754de8,1736131648,UberX,"107,65 MXN","{'webviewUrl': 'https://drivers.uber.com/earnings/trips/d30e549e-f6ba-40a2-904e-fd94e5754de8', 'deeplinkUrl': None}","{'formattedTip': None, 'formattedSurge': '14,00\xa0MXN'}","{'formattedDuration': '38\xa0min 12\xa0seg', 'formattedDistance': '12.53 km', 'pickupAddress': 'Avenida Del Peñon 355, 15530 Venustiano Carranza, Ciudad de México, MX', 'dropOffAddress': 'Calle Faisan, Cdad. Nezahualcóyotl, 57000 Estado de México, MX', 'mapUrl': 'https://static-maps.uber.com/map?width=360&height=100&marker=lat%3A19.43909%24lng%3A-99.09488%24icon%3Ahttps%3A%2F%2Fd1a3f4spazzrp4.cloudfront.net%2Fmaps%2Fhelix%2Fcar-pickup-pin.png%24anchorX%3A0.0%24anchorY%3A0.5&marker=lat%3A19.40423%24lng%3A-99.02162%24icon%3Ahttps%3A%2F%2Fd1a3f4spazzrp4.cloudfront.net%2Fmaps%2Fhelix%2Fcar-dropoff-pin.png%24anchorX%3A0.0%24anchorY%3A0.5&polyline=color%3A0xFF2DBAE4%24width%3A4%24enc%3AiusuB%7Emy%7BQxt%40v%5DzRwg%40jh%40%7BeApKyIrYkh%40nDaa%40SuTzA%7Bc%40%7CBiJk%40q%40ag%40%7BBnDyNsOyG%60FyXdSvFAcAkRmGrLgr%40zz%40czBfVdK&source=769a605b_1c9b_3da4_a486_ccc264a18174&signature=IA5NlEZJxxR1-qe4UXItoN9WHdw='}",TRIP,COMPLETED
506b207c-9c79-44fb-b51d-f424b54db639,1736129868,UberX,"75,45 MXN","{'webviewUrl': 'https://drivers.uber.com/earnings/trips/506b207c-9c79-44fb-b51d-f424b54db639', 'deeplinkUrl': None}",,"{'formattedDuration': '21\xa0min 25\xa0seg', 'formattedDistance': '7.43 km', 'pickupAddress': 'Col Guerrero, 06300 Cuauhtémoc, CMX, MX', 'dropOffAddress': 'Cairo y Persia, Col Romero Rubio Venustiano Carranza, 15400 Ciudad de México, Ciudad de México, MX', 'mapUrl': 'https://static-maps.uber.com/map?width=360&height=100&marker=lat%3A19.44469%24lng%3A-99.14385%24icon%3Ahttps%3A%2F%2Fd1a3f4spazzrp4.cloudfront.net%2Fmaps%2Fhelix%2Fcar-pickup-pin.png%24anchorX%3A1.0%24anchorY%3A0.5&marker=lat%3A19.4455%24lng%3A-99.09925%24icon%3Ahttps%3A%2F%2Fd1a3f4spazzrp4.cloudfront.net%2Fmaps%2Fhelix%2Fcar-dropoff-pin.png%24anchorX%3A1.0%24anchorY%3A0.5&polyline=color%3A0xFF2DBAE4%24width%3A4%24enc%3AixtuB%60%60c%7CQpAiGbRjB%7EBnCfBcAsq%40_w%40kk%40ga%40qJ%7BEwVsHfRqx%40vSoXhFaK%60Ue%7C%40%5CgO%7CRvD%60EsA&source=769a605b_1c9b_3da4_a486_ccc264a18174&signature=0MOZR-4Ow_5NppEz-77-lUddVxc='}",TRIP,COMPLETED
0b1c360e-3b29-4a72-9d9e-4b43cb495923,1736129038,UberX,"33,94 MXN","{'webviewUrl': 'https://drivers.uber.com/earnings/trips/0b1c360e-3b29-4a72-9d9e-4b43cb495923', 'deeplinkUrl': None}",,"{'formattedDuration': '9\xa0min 59\xa0seg', 'formattedDistance': '2.32 km', 'pickupAddress': 'Calle Salvador Díaz Mirón, México D.F., 06400 Ciudad de México, MX', 'dropOffAddress': 'Tlatelolco, 06900 Cuauhtémoc, Ciudad de México, MX', 'mapUrl': 'https://static-maps.uber.com/map?width=360&height=100&marker=lat%3A19.44809%24lng%3A-99.15324%24icon%3Ahttps%3A%2F%2Fd1a3f4spazzrp4.cloudfront.net%2Fmaps%2Fhelix%2Fcar-pickup-pin.png%24anchorX%3A0.0%24anchorY%3A0.5&marker=lat%3A19.45065%24lng%3A-99.14008%24icon%3Ahttps%3A%2F%2Fd1a3f4spazzrp4.cloudfront.net%2Fmaps%2Fhelix%2Fcar-dropoff-pin.png%24anchorX%3A0.0%24anchorY%3A0.5&polyline=color%3A0xFF2DBAE4%24width%3A4%24enc%3AqmuuBvzd%7CQ%5B%60DfIfAXe%40dFgj%40id%40oGyBuJvF%7DW&source=769a605b_1c9b_3da4_a486_ccc264a18174&signature=yPZzZgscqAKWkgqOygRsOoAr_FQ='}",TRIP,COMPLETED
4748a885-8bb4-4df5-a526-38e7ad6b215b,1736128119,UberX,"53,78 MXN","{'webviewUrl': 'https://drivers.uber.com/earnings/trips/4748a885-8bb4-4df5-a526-38e7ad6b215b', 'deeplinkUrl': None}","{'formattedTip': None, 'formattedSurge': '16,00\xa0MXN'}","{'formattedDuration': '9\xa0min 15\xa0seg', 'formattedDistance': '4.87 km', 'pickupAddress': '7 de Noviembre, 07840 Gustavo A. Madero, Ciudad de México, MX', 'dropOffAddress': 'C. Dr. Enrique González Martínez, México D.F., 06400 Ciudad de México, MX', 'mapUrl': 'https://static-maps.uber.com/map?width=360&height=100&marker=lat%3A19.46137%24lng%3A-99.12327%24icon%3Ahttps%3A%2F%2Fd1a3f4spazzrp4.cloudfront.net%2Fmaps%2Fhelix%2Fcar-pickup-pin.png%24anchorX%3A0.5%24anchorY%3A0.0&marker=lat%3A19.44902%24lng%3A-99.15509%24icon%3Ahttps%3A%2F%2Fd1a3f4spazzrp4.cloudfront.net%2Fmaps%2Fhelix%2Fcar-dropoff-pin.png%24anchorX%3A0.5%24anchorY%3A0.0&polyline=color%3A0xFF2DBAE4%24width%3A4%24enc%3Ao%60xuBl__%7CQKrAfDdBcCdMoBfHqRva%40qAfm%40wAnCHjBpGdCde%40v%5B%7CRjYrj%40fGgA%7ELsBY&source=769a605b_1c9b_3da4_a486_ccc264a18174&signature=7EkMppz8BsGgINjL5nghwI-vLmc='}",TRIP,COMPLETED
1121fd50-814a-43fd-8bf1-9caff529bdb0,1736126851,UberX,"46,37 MXN","{'webviewUrl': 'https://drivers.uber.com/earnings/trips/1121fd50-814a-43fd-8bf1-9caff529bdb0', 'deeplinkUrl': None}",,"{'formattedDuration': '16\xa0min 41\xa0seg', 'formattedDistance': '5.13 km', 'pickupAddress': 'Aquiles Serdán, 15430 Venustiano Carranza, Ciudad de México, MX', 'dropOffAddress': 'Valle Gómez, Cuauhtémoc, 06240 Cuauhtémoc, Ciudad de México, MX', 'mapUrl': 'https://static-maps.uber.com/map?width=360&height=100&marker=lat%3A19.44843%24lng%3A-99.09016%24icon%3Ahttps%3A%2F%2Fd1a3f4spazzrp4.cloudfront.net%2Fmaps%2Fhelix%2Fcar-pickup-pin.png%24anchorX%3A0.5%24anchorY%3A1.0&marker=lat%3A19.4577%24lng%3A-99.12473%24icon%3Ahttps%3A%2F%2Fd1a3f4spazzrp4.cloudfront.net%2Fmaps%2Fhelix%2Fcar-dropoff-pin.png%24anchorX%3A0.5%24anchorY%3A1.0&polyline=color%3A0xFF2DBAE4%24width%3A4%24enc%3AsouuBnpx%7BQzI%7BLpKhDrDhHwJra%40kZh%7CBmV%7DCeRv%7D%40iDmA&source=769a605b_1c9b_3da4_a486_ccc264a18174&signature=8T4A8FKDv6I8Sy-GG_-eCEnTVic='}",TRIP,COMPLETED
a655c7a5-f3bd-405f-b153-8d4661068ab4,1736124406,UberX,"123,91 MXN","{'webviewUrl': 'https://drivers.uber.com/earnings/trips/a655c7a5-f3bd-405f-b153-8d4661068ab4', 'deeplinkUrl': None}","{'formattedTip': None, 'formattedSurge': '14,00\xa0MXN'}","{'formattedDuration': '28\xa0min 52\xa0seg', 'formattedDistance': '10.10 km', 'pickupAddress': 'Vicente Guerrero, Cdad. Nezahualcóyotl, 57600 Estado de México, MX', 'dropOffAddress': 'C. Coronas, México D.F., 15430 Ciudad de México, MX', 'mapUrl': 'https://static-maps.uber.com/map?width=360&height=100&marker=lat%3A19.40572%24lng%3A-99.0372%24icon%3Ahttps%3A%2F%2Fd1a3f4spazzrp4.cloudfront.net%2Fmaps%2Fhelix%2Fcar-pickup-pin.png%24anchorX%3A0.5%24anchorY%3A0.5&marker=lat%3A19.447%24lng%3A-99.09448%24icon%3Ahttps%3A%2F%2Fd1a3f4spazzrp4.cloudfront.net%2Fmaps%2Fhelix%2Fcar-dropoff-pin.png%24anchorX%3A0.5%24anchorY%3A0.5&polyline=color%3A0xFF2DBAE4%24width%3A4%24enc%3AudmuBnen%7BQdIrDiD%7EGyr%40%60wBwBro%40iDhh%40gXhj%40uJlH__%40%7Cu%40eEzFqDh%40md%40gSmMcKs%5CiG%7DGPyWvImDwBd%40%7B%40bLfPaJr_%40oA%5Dm%40pA&source=769a605b_1c9b_3da4_a486_ccc264a18174&signature=Y0wmD-riXtGoOu2MKDlMG3gnWSw='}",TRIP,COMPLETED
2eb0502d-ed2e-4b53-b07a-c6789c8465bf,1736121629,UberX,"221,32 MXN","{'webviewUrl': 'https://drivers.uber.com/earnings/trips/2eb0502d-ed2e-4b53-b07a-c6789c8465bf', 'deeplinkUrl': None}","{'formattedTip': None, 'formattedSurge': '30,00\xa0MXN'}","{'formattedDuration': '39\xa0min 59\xa0seg', 'formattedDistance': '25.06 km', 'pickupAddress': 'Av Benito Bustamante, Col Niños Héroes, 56108 Texcoco, México, MX', 'dropOffAddress': 'Lago Tequesquitengo, Cdad. Nezahualcóyotl, 57500 Estado de México, MX', 'mapUrl': 'https://static-maps.uber.com/map?width=360&height=100&marker=lat%3A19.51604%24lng%3A-98.89089%24icon%3Ahttps%3A%2F%2Fd1a3f4spazzrp4.cloudfront.net%2Fmaps%2Fhelix%2Fcar-pickup-pin.png%24anchorX%3A0.5%24anchorY%3A0.5&marker=lat%3A19.41317%24lng%3A-99.03828%24icon%3Ahttps%3A%2F%2Fd1a3f4spazzrp4.cloudfront.net%2Fmaps%2Fhelix%2Fcar-dropoff-pin.png%24anchorX%3A0.5%24anchorY%3A0.5&polyline=color%3A0xFF2DBAE4%24width%3A4%24enc%3AevbvB%60sqzQhAaUxy%40hCqAbc%40jF%60GDnBq%40fGn%40bHiAn_%40tOxt%40%7E%60HxwWry%40%7C%5EpTxApJjHhIdJbFvClq%40lUrE%5ChD_H%7ETerAtp%40jNhI_UzQbI&source=769a605b_1c9b_3da4_a486_ccc264a18174&signature=2-3uI9ZkGhS6poU6OCs7NyD2wfk='}",TRIP,COMPLETED
